Date,Value
2002-05-29,124.35
2002-05-30,123.08
2002-05-31,124.13
2002-06-03,123.69
2002-06-04,123.95
2002-06-05,124.4
2002-06-06,124.34
2002-06-07,124.49
2002-06-10,124.6
2002-06-11,125.56
2002-06-12,125.64
2002-06-13,125.12
2002-06-14,124.25
2002-06-17,124.37
2002-06-18,124.56
2002-06-19,124.04
2002-06-20,123.33
2002-06-21,121.23
2002-06-24,121.28
2002-06-25,121.9
2002-06-26,119.83
2002-06-27,119.38
2002-06-28,119.85
2002-07-01,120.04
2002-07-02,120.13
2002-07-03,119.77
2002-07-05,120.19
2002-07-08,118.66
2002-07-09,117.85
2002-07-10,117.94
2002-07-11,116.62
2002-07-12,116.73
2002-07-15,116.06
2002-07-16,115.71
2002-07-17,116.24
2002-07-18,117.02
2002-07-19,115.73
2002-07-22,116.22
2002-07-23,117.35
2002-07-24,116.33
2002-07-25,116.87
2002-07-26,118.78
2002-07-29,119.87
2002-07-30,119.9
2002-07-31,119.77
2002-08-01,119.1
2002-08-02,118.98
2002-08-05,119.26
2002-08-06,121.14
2002-08-07,120.37
2002-08-08,121.04
2002-08-09,120.15
2002-08-12,118.85
2002-08-13,119.08
2002-08-14,116.53
2002-08-15,117.28
2002-08-16,117.51
2002-08-19,118.53
2002-08-20,118.84
2002-08-21,118.54
2002-08-22,119.85
2002-08-23,119.53
2002-08-26,119.54
2002-08-27,118.31
2002-08-28,118.31
2002-08-29,118.34
2002-08-30,118.76
2002-09-03,117.12
2002-09-04,118.01
2002-09-05,118.34
2002-09-06,118.48
2002-09-09,118.85
2002-09-10,119.78
2002-09-11,120.64
2002-09-12,120.68
2002-09-13,121.5
2002-09-16,122.17
2002-09-17,122.64
2002-09-18,121.49
2002-09-19,121.48
2002-09-20,123.16
2002-09-23,123.93
2002-09-24,123.38
2002-09-25,122.72
2002-09-26,122.59
2002-09-27,122.86
2002-09-30,121.74
2002-10-01,122.73
2002-10-02,123.21
2002-10-03,123.04
2002-10-04,123.02
2002-10-07,124.44
2002-10-08,124.26
2002-10-09,123.55
2002-10-10,123.64
2002-10-11,124.04
2002-10-15,124.66
2002-10-16,124.3
2002-10-17,124.8
2002-10-18,125.52
2002-10-21,124.71
2002-10-22,125.09
2002-10-23,124.17
2002-10-24,124.77
2002-10-25,124.14
2002-10-28,123.64
2002-10-29,122.55
2002-10-30,122.91
2002-10-31,122.78
2002-11-01,122.16
2002-11-04,122.46
2002-11-05,121.84
2002-11-06,122.22
2002-11-07,121.26
2002-11-08,119.72
2002-11-12,119.57
2002-11-13,120.28
2002-11-14,120.45
2002-11-15,120.37
2002-11-18,121.15
2002-11-19,121.65
2002-11-20,122.52
2002-11-21,122.92
2002-11-22,122.84
2002-11-25,122.32
2002-11-26,121.89
2002-11-27,122.21
2002-11-29,122.72
2002-12-02,124.61
2002-12-03,124.42
2002-12-04,124.84
2002-12-05,124.99
2002-12-06,123.69
2002-12-09,123.36
2002-12-10,123.66
2002-12-11,123.46
2002-12-12,122.75
2002-12-13,120.71
2002-12-16,121.28
2002-12-17,121.27
2002-12-18,121.12
2002-12-19,120.86
2002-12-20,120.52
2002-12-23,120.77
2002-12-24,120.27
2002-12-26,120.12
2002-12-27,119.92
2002-12-30,118.38
2002-12-31,118.75
2003-01-02,119.86
2003-01-03,119.85
2003-01-06,119.06
2003-01-07,120.18
2003-01-08,119.35
2003-01-09,119.57
2003-01-10,119.44
2003-01-13,119.03
2003-01-14,117.96
2003-01-15,117.91
2003-01-16,118.02
2003-01-17,117.88
2003-01-21,118.57
2003-01-22,118.15
2003-01-23,117.83
2003-01-24,117.8
2003-01-27,118.64
2003-01-28,118.67
2003-01-29,118.13
2003-01-30,119.22
2003-01-31,119.96
2003-02-03,120.47
2003-02-04,119.75
2003-02-05,119.78
2003-02-06,119.93
2003-02-07,120.4
2003-02-10,121.25
2003-02-11,121.19
2003-02-12,121.3
2003-02-13,120.49
2003-02-14,120.41
2003-02-18,118.93
2003-02-19,118.65
2003-02-20,118.18
2003-02-21,118.78
2003-02-24,117.78
2003-02-25,117.14
2003-02-26,117.19
2003-02-27,117.58
2003-02-28,118.22
2003-03-03,117.93
2003-03-04,117.96
2003-03-05,117.32
2003-03-06,117.22
2003-03-07,116.47
2003-03-10,116.55
2003-03-11,117.07
2003-03-12,117.18
2003-03-13,118.31
2003-03-14,118.59
2003-03-17,118.45
2003-03-18,118.9
2003-03-19,120.13
2003-03-20,120.05
2003-03-21,121.42
2003-03-24,120.69
2003-03-25,120.03
2003-03-26,120.13
2003-03-27,119.78
2003-03-28,120.18
2003-03-31,118.07
2003-04-01,118.25
2003-04-02,119.17
2003-04-03,119.55
2003-04-04,120.05
2003-04-07,120.41
2003-04-08,119.91
2003-04-09,120.55
2003-04-10,119.58
2003-04-11,120.47
2003-04-14,120.3
2003-04-15,120.2
2003-04-16,120.04
2003-04-17,119.3
2003-04-18,119.72
2003-04-21,120.55
2003-04-22,119.68
2003-04-23,120.33
2003-04-24,119.83
2003-04-25,120.25
2003-04-28,120.34
2003-04-29,120.14
2003-04-30,119.07
2003-05-01,118.56
2003-05-02,119.1
2003-05-05,118.64
2003-05-06,117.94
2003-05-07,116.51
2003-05-08,116.65
2003-05-09,117.2
2003-05-12,116.94
2003-05-13,116.56
2003-05-14,116.16
2003-05-15,115.94
2003-05-16,116.01
2003-05-19,116.58
2003-05-20,116.77
2003-05-21,117.23
2003-05-22,117.25
2003-05-23,116.89
2003-05-27,117.12
2003-05-28,118.73
2003-05-29,118.45
2003-05-30,119.5
2003-06-02,118.52
2003-06-03,119.27
2003-06-04,118.6
2003-06-05,117.61
2003-06-06,118.83
2003-06-09,118.11
2003-06-10,117.68
2003-06-11,117.69
2003-06-12,117.66
2003-06-13,117.46
2003-06-16,117.79
2003-06-17,118.2
2003-06-18,118.4
2003-06-19,118.74
2003-06-20,118.39
2003-06-23,117.55
2003-06-24,117.96
2003-06-25,117.54
2003-06-26,119.32
2003-06-27,119.72
2003-06-30,119.87
2003-07-01,119.45
2003-07-02,118.63
2003-07-03,118.24
2003-07-07,118.08
2003-07-08,118.58
2003-07-09,117.85
2003-07-10,117.69
2003-07-11,117.8
2003-07-14,117.54
2003-07-15,117.24
2003-07-16,118.24
2003-07-17,118.87
2003-07-18,118.4
2003-07-21,118.35
2003-07-22,119.34
2003-07-23,118.77
2003-07-24,119.25
2003-07-25,118.82
2003-07-28,119.42
2003-07-29,119.78
2003-07-30,120.55
2003-07-31,120.42
2003-08-01,120.0
2003-08-04,120.47
2003-08-05,119.95
2003-08-06,120.33
2003-08-07,118.91
2003-08-08,119.02
2003-08-11,118.36
2003-08-12,118.53
2003-08-13,119.07
2003-08-14,119.14
2003-08-15,119.24
2003-08-18,119.43
2003-08-19,119.26
2003-08-20,118.23
2003-08-21,117.58
2003-08-22,117.58
2003-08-25,117.43
2003-08-26,117.49
2003-08-27,117.74
2003-08-28,117.44
2003-08-29,116.71
2003-09-02,116.15
2003-09-03,116.04
2003-09-04,116.77
2003-09-05,117.06
2003-09-08,116.48
2003-09-09,116.33
2003-09-10,117.13
2003-09-11,117.07
2003-09-12,117.38
2003-09-15,117.41
2003-09-16,116.27
2003-09-17,115.99
2003-09-18,115.27
2003-09-19,113.99
2003-09-22,111.95
2003-09-23,111.65
2003-09-24,111.7
2003-09-25,111.86
2003-09-26,111.8
2003-09-29,111.07
2003-09-30,111.43
2003-10-01,110.61
2003-10-02,110.59
2003-10-03,110.9
2003-10-06,110.81
2003-10-07,109.81
2003-10-08,109.55
2003-10-09,109.34
2003-10-10,108.57
2003-10-14,109.29
2003-10-15,109.56
2003-10-16,109.36
2003-10-17,109.57
2003-10-20,110.22
2003-10-21,109.69
2003-10-22,108.95
2003-10-23,109.59
2003-10-24,109.23
2003-10-27,108.38
2003-10-28,108.33
2003-10-29,108.18
2003-10-30,108.27
2003-10-31,110.1
2003-11-03,111.2
2003-11-04,109.6
2003-11-05,109.91
2003-11-06,110.15
2003-11-07,109.29
2003-11-10,107.98
2003-11-12,108.55
2003-11-13,108.33
2003-11-14,108.43
2003-11-17,108.98
2003-11-18,108.11
2003-11-19,109.06
2003-11-20,108.99
2003-11-21,108.87
2003-11-24,109.39
2003-11-25,109.72
2003-11-26,109.11
2003-11-28,109.53
2003-12-01,109.61
2003-12-02,108.82
2003-12-03,108.17
2003-12-04,108.19
2003-12-05,107.78
2003-12-08,107.23
2003-12-09,107.3
2003-12-10,108.4
2003-12-11,108.23
2003-12-12,107.73
2003-12-15,107.52
2003-12-16,107.6
2003-12-17,107.42
2003-12-18,107.92
2003-12-19,107.94
2003-12-22,107.4
2003-12-23,107.44
2003-12-24,107.29
2003-12-26,107.18
2003-12-29,106.93
2003-12-30,107.0
2003-12-31,107.13
2004-01-02,106.95
2004-01-05,106.1
2004-01-06,106.2
2004-01-07,106.19
2004-01-08,106.17
2004-01-09,106.54
2004-01-12,106.48
2004-01-13,106.25
2004-01-14,106.06
2004-01-15,106.1
2004-01-16,106.87
2004-01-20,107.17
2004-01-21,106.84
2004-01-22,106.08
2004-01-23,106.21
2004-01-26,106.15
2004-01-27,105.56
2004-01-28,105.52
2004-01-29,106.09
2004-01-30,105.84
2004-02-02,105.59
2004-02-03,105.36
2004-02-04,105.53
2004-02-05,105.52
2004-02-06,105.57
2004-02-09,105.68
2004-02-10,105.55
2004-02-11,105.37
2004-02-12,105.42
2004-02-13,105.6
2004-02-17,105.8
2004-02-18,106.37
2004-02-19,107.09
2004-02-20,108.83
2004-02-23,108.22
2004-02-24,108.11
2004-02-25,108.99
2004-02-26,109.59
2004-02-27,109.26
2004-03-01,108.93
2004-03-02,110.27
2004-03-03,110.25
2004-03-04,110.74
2004-03-05,111.42
2004-03-08,112.12
2004-03-09,111.2
2004-03-10,111.04
2004-03-11,110.89
2004-03-12,110.82
2004-03-15,110.48
2004-03-16,108.95
2004-03-17,108.18
2004-03-18,106.6
2004-03-19,106.97
2004-03-22,106.84
2004-03-23,106.63
2004-03-24,106.23
2004-03-25,106.06
2004-03-26,105.93
2004-03-29,105.52
2004-03-30,105.61
2004-03-31,104.18
2004-04-01,103.7
2004-04-02,104.55
2004-04-05,105.36
2004-04-06,105.9
2004-04-07,105.2
2004-04-08,106.1
2004-04-09,106.45
2004-04-12,105.5
2004-04-13,106.96
2004-04-14,108.53
2004-04-15,108.58
2004-04-16,107.69
2004-04-19,108.5
2004-04-20,108.43
2004-04-21,109.55
2004-04-22,109.85
2004-04-23,109.38
2004-04-26,108.55
2004-04-27,109.48
2004-04-28,109.85
2004-04-29,109.96
2004-04-30,110.37
2004-05-03,110.34
2004-05-04,110.02
2004-05-05,108.5
2004-05-06,109.58
2004-05-07,112.3
2004-05-10,114.03
2004-05-11,113.67
2004-05-12,113.21
2004-05-13,114.25
2004-05-14,114.3
2004-05-17,114.1
2004-05-18,114.06
2004-05-19,112.77
2004-05-20,113.18
2004-05-21,112.09
2004-05-24,112.66
2004-05-25,112.21
2004-05-26,111.7
2004-05-27,110.77
2004-05-28,110.18
2004-06-01,110.45
2004-06-02,110.28
2004-06-03,111.14
2004-06-04,111.27
2004-06-07,109.61
2004-06-08,109.77
2004-06-09,109.74
2004-06-10,109.33
2004-06-11,110.09
2004-06-14,111.15
2004-06-15,109.59
2004-06-16,110.15
2004-06-17,109.63
2004-06-18,108.65
2004-06-21,108.57
2004-06-22,109.0
2004-06-23,108.64
2004-06-24,107.1
2004-06-25,107.82
2004-06-28,107.95
2004-06-29,108.18
2004-06-30,109.43
2004-07-01,108.24
2004-07-02,108.6
2004-07-06,109.24
2004-07-07,108.38
2004-07-08,108.76
2004-07-09,108.21
2004-07-12,108.24
2004-07-13,109.37
2004-07-14,109.13
2004-07-15,109.52
2004-07-16,108.77
2004-07-19,108.28
2004-07-20,108.38
2004-07-21,110.1
2004-07-22,109.68
2004-07-23,110.11
2004-07-26,110.08
2004-07-27,111.09
2004-07-28,111.78
2004-07-29,111.88
2004-07-30,111.39
2004-08-02,111.08
2004-08-03,110.6
2004-08-04,111.29
2004-08-05,111.53
2004-08-06,110.05
2004-08-09,110.57
2004-08-10,110.79
2004-08-11,110.78
2004-08-12,111.14
2004-08-13,110.67
2004-08-16,110.64
2004-08-17,110.07
2004-08-18,109.71
2004-08-19,109.34
2004-08-20,109.32
2004-08-23,109.47
2004-08-24,109.63
2004-08-25,110.38
2004-08-26,109.73
2004-08-27,109.51
2004-08-30,109.84
2004-08-31,109.0
2004-09-01,109.62
2004-09-02,109.52
2004-09-03,110.47
2004-09-07,109.32
2004-09-08,109.22
2004-09-09,109.69
2004-09-10,109.33
2004-09-13,110.13
2004-09-14,109.4
2004-09-15,110.34
2004-09-16,109.75
2004-09-17,109.97
2004-09-20,109.87
2004-09-21,109.94
2004-09-22,110.53
2004-09-23,110.39
2004-09-24,110.72
2004-09-27,111.13
2004-09-28,111.48
2004-09-29,110.9
2004-09-30,110.2
2004-10-01,110.45
2004-10-04,111.13
2004-10-05,111.21
2004-10-06,111.34
2004-10-07,111.15
2004-10-08,109.44
2004-10-12,109.79
2004-10-13,109.78
2004-10-14,109.6
2004-10-15,109.14
2004-10-18,109.23
2004-10-19,108.36
2004-10-20,108.16
2004-10-21,107.43
2004-10-22,107.42
2004-10-25,106.61
2004-10-26,106.63
2004-10-27,106.67
2004-10-28,106.09
2004-10-29,106.04
2004-11-01,106.41
2004-11-02,106.29
2004-11-03,106.2
2004-11-04,106.02
2004-11-05,105.6
2004-11-08,105.57
2004-11-09,105.57
2004-11-10,106.91
2004-11-12,105.53
2004-11-15,105.53
2004-11-16,105.35
2004-11-17,104.18
2004-11-18,104.23
2004-11-19,102.8
2004-11-22,103.2
2004-11-23,103.42
2004-11-24,102.94
2004-11-26,102.58
2004-11-29,102.61
2004-11-30,103.04
2004-12-01,102.78
2004-12-02,103.11
2004-12-03,102.56
2004-12-06,102.68
2004-12-07,102.74
2004-12-08,104.74
2004-12-09,104.93
2004-12-10,105.45
2004-12-13,104.67
2004-12-14,105.59
2004-12-15,104.02
2004-12-16,104.36
2004-12-17,104.28
2004-12-20,104.01
2004-12-21,104.33
2004-12-22,103.95
2004-12-23,103.71
2004-12-24,103.65
2004-12-27,102.97
2004-12-28,103.13
2004-12-29,104.19
2004-12-30,103.11
2004-12-31,102.68
2005-01-03,102.83
2005-01-04,104.27
2005-01-05,103.95
2005-01-06,104.87
2005-01-07,104.93
2005-01-10,104.32
2005-01-11,103.42
2005-01-12,102.26
2005-01-13,102.55
2005-01-14,102.5
2005-01-18,102.36
2005-01-19,102.52
2005-01-20,103.31
2005-01-21,102.85
2005-01-24,102.67
2005-01-25,104.16
2005-01-26,102.9
2005-01-27,103.15
2005-01-28,103.45
2005-01-31,103.55
2005-02-01,103.93
2005-02-02,104.05
2005-02-03,104.55
2005-02-04,103.7
2005-02-07,104.68
2005-02-08,105.65
2005-02-09,105.84
2005-02-10,105.69
2005-02-11,105.75
2005-02-14,104.94
2005-02-15,104.47
2005-02-16,105.62
2005-02-17,105.4
2005-02-18,105.69
2005-02-22,104.15
2005-02-23,104.96
2005-02-24,105.41
2005-02-25,105.21
2005-02-28,104.25
2005-03-01,104.37
2005-03-02,104.71
2005-03-03,105.02
2005-03-04,104.46
2005-03-07,105.22
2005-03-08,104.51
2005-03-09,103.87
2005-03-10,104.15
2005-03-11,103.93
2005-03-14,105.01
2005-03-15,104.54
2005-03-16,104.1
2005-03-17,104.57
2005-03-18,104.7
2005-03-21,105.1
2005-03-22,104.99
2005-03-23,105.76
2005-03-24,106.26
2005-03-25,106.32
2005-03-28,107.22
2005-03-29,107.49
2005-03-30,107.33
2005-03-31,107.22
2005-04-01,107.57
2005-04-04,108.28
2005-04-05,108.43
2005-04-06,108.67
2005-04-07,108.44
2005-04-08,108.26
2005-04-11,107.79
2005-04-12,108.26
2005-04-13,107.32
2005-04-14,108.18
2005-04-15,107.65
2005-04-18,107.39
2005-04-19,107.02
2005-04-20,106.82
2005-04-21,106.85
2005-04-22,105.85
2005-04-25,105.67
2005-04-26,106.03
2005-04-27,105.98
2005-04-28,105.97
2005-04-29,104.64
2005-05-02,105.07
2005-05-03,105.16
2005-05-04,104.77
2005-05-05,104.41
2005-05-06,104.93
2005-05-09,105.54
2005-05-10,105.53
2005-05-11,105.74
2005-05-12,106.68
2005-05-13,107.14
2005-05-16,107.02
2005-05-17,107.15
2005-05-18,107.05
2005-05-19,107.43
2005-05-20,108.17
2005-05-23,107.72
2005-05-24,107.46
2005-05-25,107.73
2005-05-26,107.95
2005-05-27,107.88
2005-05-31,107.97
2005-06-01,108.42
2005-06-02,108.31
2005-06-03,107.84
2005-06-06,106.86
2005-06-07,106.64
2005-06-08,106.89
2005-06-09,107.52
2005-06-10,108.45
2005-06-13,109.58
2005-06-14,109.38
2005-06-15,109.34
2005-06-16,109.08
2005-06-17,108.83
2005-06-20,109.42
2005-06-21,108.52
2005-06-22,108.89
2005-06-23,108.79
2005-06-24,109.22
2005-06-27,109.39
2005-06-28,109.89
2005-06-29,110.27
2005-06-30,110.91
2005-07-01,111.68
2005-07-05,111.61
2005-07-06,112.07
2005-07-07,112.08
2005-07-08,112.17
2005-07-11,111.76
2005-07-12,110.94
2005-07-13,112.08
2005-07-14,112.14
2005-07-15,112.32
2005-07-18,111.62
2005-07-19,112.95
2005-07-20,113.42
2005-07-21,110.47
2005-07-22,110.98
2005-07-25,111.59
2005-07-26,112.3
2005-07-27,112.3
2005-07-28,112.34
2005-07-29,112.25
2005-08-01,112.12
2005-08-02,111.28
2005-08-03,111.05
2005-08-04,111.17
2005-08-05,112.09
2005-08-08,111.87
2005-08-09,112.07
2005-08-10,110.67
2005-08-11,109.92
2005-08-12,109.55
2005-08-15,109.4
2005-08-16,109.37
2005-08-17,109.63
2005-08-18,110.54
2005-08-19,110.68
2005-08-22,109.75
2005-08-23,109.83
2005-08-24,110.35
2005-08-25,109.9
2005-08-26,109.85
2005-08-29,110.53
2005-08-30,111.49
2005-08-31,110.84
2005-09-01,110.16
2005-09-02,109.66
2005-09-06,109.67
2005-09-07,110.06
2005-09-08,110.49
2005-09-09,109.69
2005-09-12,109.91
2005-09-13,110.85
2005-09-14,110.27
2005-09-15,110.48
2005-09-16,111.38
2005-09-19,111.3
2005-09-20,111.54
2005-09-21,111.33
2005-09-22,111.63
2005-09-23,112.17
2005-09-26,112.41
2005-09-27,113.32
2005-09-28,113.27
2005-09-29,113.14
2005-09-30,113.29
2005-10-03,114.17
2005-10-04,114.33
2005-10-05,113.72
2005-10-06,113.54
2005-10-07,113.82
2005-10-11,114.21
2005-10-12,114.36
2005-10-13,114.97
2005-10-14,114.03
2005-10-17,114.86
2005-10-18,115.71
2005-10-19,115.47
2005-10-20,115.48
2005-10-21,115.93
2005-10-24,115.18
2005-10-25,114.78
2005-10-26,115.81
2005-10-27,115.14
2005-10-28,115.52
2005-10-31,116.36
2005-11-01,116.63
2005-11-02,116.76
2005-11-03,117.21
2005-11-04,118.2
2005-11-07,117.57
2005-11-08,117.1
2005-11-09,117.51
2005-11-10,118.05
2005-11-14,118.88
2005-11-15,118.93
2005-11-16,119.17
2005-11-17,118.81
2005-11-18,119.21
2005-11-21,119.03
2005-11-22,119.22
2005-11-23,118.76
2005-11-25,119.65
2005-11-28,119.25
2005-11-29,119.48
2005-11-30,119.66
2005-12-01,120.62
2005-12-02,120.77
2005-12-05,120.83
2005-12-06,120.82
2005-12-07,120.93
2005-12-08,120.27
2005-12-09,120.54
2005-12-12,119.9
2005-12-13,120.11
2005-12-14,116.81
2005-12-15,116.55
2005-12-16,115.78
2005-12-19,116.01
2005-12-20,117.01
2005-12-21,117.4
2005-12-22,116.55
2005-12-23,116.38
2005-12-27,117.07
2005-12-28,117.62
2005-12-29,117.86
2005-12-30,117.88
2006-01-03,116.34
2006-01-04,116.31
2006-01-05,115.96
2006-01-06,114.45
2006-01-09,114.66
2006-01-10,114.64
2006-01-11,113.96
2006-01-12,114.31
2006-01-13,114.43
2006-01-17,115.83
2006-01-18,115.35
2006-01-19,115.07
2006-01-20,115.42
2006-01-23,114.67
2006-01-24,114.54
