date,open,high,low,close,volume
2016-10-28,203.9869,204.743,202.6183,203.4127,140623183
2016-10-31,203.7859,204.0347,203.2404,203.4222,61272507
2016-11-01,203.7859,203.8433,200.5989,201.9484,122781818
2016-11-02,201.6038,202.0345,200.2448,200.7329,103330806
2016-11-03,200.9722,201.2114,199.5079,199.8141,88939346
2016-11-04,199.9385,200.8765,199.4313,199.594,109122059
2016-11-07,202.3695,204.0347,202.2259,203.9965,109794861
2016-11-08,203.5562,205.5469,203.2595,204.9152,106772138
2016-11-09,203.25,207.7768,203.2212,207.087,258428972
2016-11-10,207.9682,208.9349,205.9776,207.6046,172113313
2016-11-11,206.8006,207.394,206.0733,207.126,100552732
2016-11-14,207.7098,207.9395,206.4561,207.2887,94579982
2016-11-15,207.7194,208.9062,207.4897,208.9062,91652580
2016-11-16,208.2171,208.7722,208.0831,208.5138,65617697
2016-11-17,208.686,209.6527,208.5616,209.5857,69797191
2016-11-18,209.6622,209.8536,208.9157,209.1167,86265751
2016-11-21,209.7579,210.7246,209.5952,210.6959,72402638
2016-11-22,211.0404,211.3084,210.2939,211.1074,67428957
2016-11-23,210.5332,211.2797,210.313,211.2222,56620237
2016-11-25,211.6051,212.0453,211.5189,212.007,37872255
2016-11-28,211.6625,211.9687,210.8968,211.0117,76572511
2016-11-29,211.05,211.9305,210.715,211.4232,69886690
2016-11-30,212.1123,212.2941,210.849,210.916,113291793
2016-12-01,211.2509,211.2509,209.7388,210.1408,79040487
2016-12-02,210.2365,210.7916,209.8441,210.246,74840347
2016-12-05,211.1744,211.8922,210.9543,211.5094,67837821
2016-12-06,211.7199,212.2215,211.1859,212.1793,59877377
2016-12-07,212.007,215.0217,211.873,214.9548,110738050
2016-12-08,214.926,216.0075,214.6294,215.4811,99714387
2016-12-09,215.73,216.8019,215.6917,216.7827,88005766
2016-12-12,216.6775,217.2134,216.0649,216.5339,101906238
2016-12-13,217.2708,218.5341,217.2517,217.979,110477485
2016-12-14,217.6441,218.4289,215.6869,216.1798,142501812
2016-12-15,216.4478,218.0269,216.1897,217.0698,124972554
2016-12-16,217.579,217.6464,216.289,216.6452,156420152
2016-12-19,216.8473,217.5886,216.6837,217.1169,90341147
2016-12-20,217.7138,218.1181,217.4538,217.9544,89838810
2016-12-21,217.81,218.0026,217.3479,217.3479,67909039
2016-12-22,217.1843,217.3191,216.5297,216.9725,56219071
2016-12-23,217.0206,217.2998,216.8088,217.2902,36697822
2016-12-27,217.5886,218.2721,217.5694,217.8293,42672487
2016-12-28,218.1181,218.1374,215.9039,216.0291,64095014
2016-12-29,216.1061,216.5008,215.4899,215.9809,48696080
2016-12-30,216.3467,216.443,214.4214,215.1915,108998328
2017-01-03,216.6452,217.4057,215.532,216.8377,91366522
2017-01-04,217.2035,218.2914,217.1939,218.1277,78744433
2017-01-05,217.8293,218.1277,217.0688,217.9544,78379012
2017-01-06,218.0796,219.2541,217.4731,218.7342,71559922
2017-01-09,218.4454,218.5996,217.9701,218.0122,46939676
2017-01-10,218.0315,218.9653,217.579,218.0122,63771939
2017-01-11,217.9159,218.6283,217.1747,218.6283,74650016
2017-01-12,218.0507,218.2914,216.5634,218.0796,72113181
2017-01-13,218.2721,218.9171,218.2336,218.5802,62717865
2017-01-17,217.8678,218.3203,217.3768,217.81,61240814
2017-01-18,218.0844,218.3395,217.4731,218.2914,54793302
2017-01-19,218.378,218.5321,217.0014,217.4827,66608787
2017-01-20,218.2433,218.8305,217.5423,218.2818,129168623
2017-01-23,217.9063,218.3443,216.8666,217.7138,75061645
2017-01-24,217.9544,219.5718,217.8293,219.1097,95555295
2017-01-25,220.1687,221.0062,219.9857,221.0062,84437712
2017-01-26,220.8425,221.141,220.4671,220.7751,59970719
2017-01-27,220.8618,221.0254,220.2264,220.4286,59695224
2017-01-30,219.6584,219.6873,217.9641,219.0615,79737252
2017-01-31,218.5128,219.1097,217.8774,219.0423,75880805
